link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,toll,jurisdiction,row_width,notes
311,Broadway,3,11,TRUE,9001,,,1,708,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,Broadway EB approaching Ames
711,Ames Street,7,11,TRUE,9002,,,1,541,,,1000,25,1,CycleTrack,Sidewalk,None,"AUTO, BIKE",,,,Ames between Main and Broadway NB
117,Ames Street,11,7,TRUE,9002,,,-1,541,,,1000,25,1,CycleTrack,Sidewalk,None,"AUTO, BIKE",,,,Ames between Main and Broadway SB
1122,Broadway,11,22,TRUE,9003,,,1,932,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,Eastbound approaching Third
113,Broadway,11,3,TRUE,9004,,,1,708,,,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE",,,,"Westbound, west of Ames"
2211,Broadway,22,11,TRUE,9005,,,1,932,,,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE",,,,Westbound approaching Ames
7797,Broadway,22,25,TRUE,9006,,,1,207,,,2000,25,2,BikeLane,Sidewalk,None,"AUTO, BIKE",,,,356677797
7798,Broadway,27,22,TRUE,9007,,,1,415,,,2000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,356677798
1711,Knox Bikepath,17,11,TRUE,9008,,,1,864,,Cycletrack,1000,15,0,CycleTrack,Sidewalk,None,BIKE,,,,Bike/ped path west of Volpe SB
1117,Knox Bikepath,11,17,TRUE,9008,,,-1,864,,Cycletrack,1000,15,0,CycleTrack,Sidewalk,None,BIKE,,,,Bike/ped path west of Volpe NB
11701,Ames Street,11,7,TRUE,9009,,711,1,530,,Cycletrack,1000,25,0,CycleTrack,None,None,BIKE,,,,Ames cycletrack between Main and Broadway SB
71101,Ames Street,7,11,TRUE,9009,,711,-1,530,,Cycletrack,1000,25,0,CycleTrack,None,None,BIKE,,,,Ames cycletrack between Main and Broadway NB
5409,Third Street,22,29,TRUE,9010,,,1,1024,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,8615409
