road_link_id,name,from_node,to_node,physical_link_id,shapepoint_flag,capacity,free_speed,lanes,ped_facility,parking,bike_facility,allowed_uses,other fields
578653,US3 NB,5,1,578653,With,,55,1,None,None,None,AUTO,
578527,R50175,5,2,578527,Against,,35,1,None,None,None,AUTO,
578608,I95 SB,12,3,578608,With,,55,4,None,None,None,AUTO,
578761,N1344 SB,4,13,578761,With,,35,3,Sidewalk,None,None,ALL,
5787619,,13,4,578761,Against,,35,3,None,None,None,ALL,
578556,US3 NB,10,5,578556,With,,55,2,None,None,None,AUTO,
578570,N1344 SB,9,13,578570,Against,,35,3,None,None,None,ALL,
5785709,,13,9,578570,With,,35,2,None,Sidewalk,None,ALL,
578571,US3 NB,11,10,578571,With,,55,1,None,None,None,AUTO,
578597,R12677,13,10,578597,With,,35,1,None,None,None,AUTO,
578607,R12675,12,11,578607,Against,,35,2,None,None,None,AUTO,
578600,R12676,11,13,578600,With,,35,1,None,None,None,AUTO,
